W1,W2,W3,F
sonia,gandhi,kindly,2
gandhi,kindly,unfollow,2
history,well,done,2
seats,seats,two,2
left,parties,left,2
party,history,well,2
worst,party,history,2
hands,worst,party,2
joins,hands,worst,2
getting,closer,thugs,2
closer,thugs,caught,2
women,voted,power,2
legislature,women,voted,2
parliament,legislature,women,2
thugs,caught,punished,2
party,joins,hands,2
goon,party,joins,2
mp,senior,congress,2
congress,president,promised,2
list,planning,vote,2
eye,congress,president,2
planning,vote,sonia,2
rgs,eyes,due,2
vote,sonia,gandhi,2
private,regulate,sports,2
introduce,private,regulate,2
women,empowerment,congress,2
eyes,due,loss,2
due,loss,hundreds,2
loss,hundreds,crore,2
decides,go,solo,2
going,introduce,private,2
dr,going,introduce,2
leader,dr,going,2
congress,leader,dr,2
major,announcement,eye,2
announcement,eye,congress,2
hundreds,crore,unaccounted,2
pocket,even,political,2
political,heat,already,2
gandhi,shown,news,2
raha,hu,iss,2
live,updates,rally,2
catch,live,updates,2
gandhi,catch,live,2
rahul,gandhi,catch,2
contest,seats,leaving,2
seats,leaving,seats,2
thats,rude,actually,2
retrieving,idea,india,2
aa,raha,hu,2
heat,already,getting,2
defame,india,lies,2
disrepute,defame,india,2
wants,disrepute,defame,2
much,wants,disrepute,2
modi,much,wants,2
attack,modi,much,2
free,attack,modi,2
amit,chavda,lead,2
partner,amparo,grau,2
hu,iss,chor,2
view,development,uptake,2
announce,tieup,polls,2
chor,machae,shor,2
iss,chor,machae,2
cooperation,participates,panel,2
participates,panel,international,2
india,always,safe,2
panel,international,limits,2
international,limits,talking,2
limits,talking,point,2
talking,point,view,2
point,view,development,2
always,safe,secure,2
safe,secure,ji,2
secure,ji,always,2
ji,always,dont,2
always,dont,even,2
dont,even,care,2
even,care,civilians,2
chavda,lead,congress,2
lead,congress,party,2
congress,party,gujarat,2
congress,president,tuesday,2
prime,minister,man,2
month,go,rahul,2
per,month,go,2
future,prime,minister,2
guarantee,per,month,2
income,guarantee,per,2
making,minimum,income,2
scam,making,minimum,2
rajasthan,deputy,cm,2
deputy,cm,designate,2
cm,designate,said,2
designate,said,aicc,2
said,aicc,headquarters,2
aicc,headquarters,isi,2
getting,intense,run,2
already,getting,intense,2
student,future,prime,2
go,rahul,gandhi,2
president,tuesday,said,2
gandhi,free,attack,2
tuesday,said,would,2
party,gujarat,state,2
gujarat,state,lok,2
rahul,gandhi,free,2
state,lok,elections,2
pm,modi,rahul,2
winks,sleeps,hugs,2
ran,away,months,2
jokers,think,difficult,2
polls,keep,congress,2
keep,congress,akhilesh,2
congis,jokers,think,2
contest,lok,polls,2
priority,voted,power,2
passed,priority,voted,2
would,passed,priority,2
said,would,passed,2
minister,man,can’t,2
rahul,gandhi,shown,2
shown,news,papers,2
real,progress,looks,2
empire,ruled,dynasty,2
far,new,tossed,2
day,years,ago,2
new,tossed,words,2
tossed,words,aint,2
years,ago,rajiv,2
congress,foreign,imperialist,2
foreign,imperialist,empire,2
imperialist,empire,ruled,2
ruled,dynasty,ad,2
lucky,thanks,great,2
dynasty,ad,indigenous,2
ago,rajiv,gandhi,2
words,aint,yet,2
aint,yet,motherf**er,2
rajiv,gandhi,led,2
however,fan,replacing,2
elected,however,fan,2
dear,hindus,alternative,2
move,materialized,certainly,2
materialized,certainly,help,2
certainly,help,congress,2
help,congress,ncp,2
congress,party,cleaners,2
entire,congress,party,2
takes,entire,congress,2
jaitley,takes,entire,2
arun,jaitley,takes,2
tieup,lok,polls,2
announce,tieup,lok,2
sp,announce,tieup,2
rahul,gandhi,challenged,2
gandhi,challenged,us,2
challenged,us,see,2
us,see,narendra,2
see,narendra,modi,2
maharashtra,specially,marathwada,2
alliance,maharashtra,specially,2
ncp,alliance,maharashtra,2
congress,ncp,alliance,2
hindus,alternative,pm,2
alternative,pm,others,2
pm,others,incl,2
congress,govt,forced,2
forced,flee,home,2
flee,home,valley,2
pm,modi,different,2
modi,different,rest,2
president,said,women’s,2
compensation,per,household,2
rs,compensation,per,2
provide,rs,compensation,2
promised,provide,rs,2
manifesto,promised,provide,2
women,join,rejecting,2
join,rejecting,israel,2
rejecting,israel,tell,2
shri,ji,interacts,2
ji,interacts,karyakartas,2
factories,factories,real,2
factories,real,progress,2
govt,forced,flee,2
led,congress,govt,2
get,elected,however,2
one,first,muslim,2
odds,get,elected,2
yet,motherf**er,within,2
congresswomen,odds,get,2
yo,congresswomen,odds,2
motherf**er,within,hours,2
spends,time,winking,2
lower,house,parliament,2
dancing,yo,congresswomen,2
american,women,elected,2
native,american,women,2
history,first,native,2
made,history,first,2
women,made,history,2
amazing,women,made,2
two,amazing,women,2
muslim,women,elected,2
first,muslim,women,2
thanks,great,show,2
country,lucky,thanks,2
news,papers,president,2
going,defeat,pm,2
incite,communal,violence,2
pleasure,actually,understand,2
world,pleasure,actually,2
lost,world,pleasure,2
lok,polls,rahul,2
polls,rahul,gandhi,2
country,congress,party,2
party,going,defeat,2
defeat,pm,duty,2
party,cleaners,rafale,2
countdown,challenged,ji,2
challenged,ji,atleast,2
ji,atleast,open,2
shame,echoed,parliament,2
proclamation,shame,echoed,2
loud,proclamation,shame,2
war,loud,proclamation,2
minister,pm,candidate,2
actually,understand,significance,2
understand,significance,life/post,2
great,commanders,congress,2
defeat,mandatory,prosperous,2
papers,president,congress,2
president,congress,party,2
week,minimum,income,2
minimum,income,scheme,2
cp,said,women’s,2
income,scheme,poor,2
anything,needed,prove,2
caught,punished,india,2
punished,india,longer,2
listen,modi,even,2
congress,choice,leaders,2
salute,congress,choice,2
congress,salute,congress,2
shud,come,together,2
come,together,defeat,2
together,defeat,mandatory,2
commanders,congress,salute,2
kargil,war,loud,2
election,define,indian,2
define,indian,destiny,2
congress,lost,ethics,2
violently,storming,throwing,2
storming,throwing,rocks,2
destiny,also,please,2
nehru,gandhi,family,2
throwing,rocks,patrol,2
also,please,regi…,2
rafales,kargil,war,2
ordered,rafales,kargil,2
today,started,taking,2
congratulations,country,lucky,2
started,taking,applications,2
taking,applications,parliament,2
congress,ordered,rafales,2
armymen,congress,ordered,2
lives,armymen,congress,2
hundreds,lives,armymen,2
india,could,saved,2
hal,cz,hal,2
lost,ethics,political,2
indian,destiny,new,2
ethics,political,party,2
destiny,new,year,2
said,two,parties,2
new,year,resolve,2
modi,even,picture,2
forget,last,call,2
want,forget,last,2
dont,want,forget,2
even,picture,dassault,2
picture,dassault,choose,2
dassault,choose,hal,2
refused,take,ownership,2
year,resolve,shape,2
choose,hal,cz,2
party,ashamed,actions,2
resolve,shape,destiny,2
shape,destiny,also,2
political,party,ashamed,2
congresswoman,please,show,2
set,passed,new,2
please,show,palestine,2
whats,happening,aware,2
oathtaking,ceremony,newly,2
newly,elected,madhya,2
elected,madhya,pradesh,2
chief,minister,kamal,2
rahul,gandhis,campaigning,2
gandhis,campaigning,earned,2
campaigning,earned,faith,2
surprise,offers,maharashtra,2
springs,surprise,offers,2
kishor,springs,surprise,2
prashant,kishor,springs,2
earned,faith,people,2
aware,stance,fighting,2
happening,aware,stance,2
disappointed,whats,happening,2
also,attend,oathtaking,2
faith,people,says,2
people,says,rajasthan,2
says,rajasthan,chief,2
last,yogi,adityanath,2
yogi,adityanath,speaks,2
adityanath,speaks,congress,2
speaks,congress,polls,2
congress,polls,deceit,2
gets,trolled,twitter,2
party,gets,trolled,2
congress,party,gets,2
joins,congress,party,2
shinde,joins,congress,2
shilpa,shinde,joins,2
attend,oathtaking,ceremony,2
gandhi,also,attend,2
party,workers,willing,2
newly,elected,rajasthan,2
chief,minister,rahul,2
gandhi,announced,farm,2
announced,farm,loans,2
farm,loans,waived,2
loans,waived,within,2
congress,first,enemy,2
first,enemy,growth,2
enemy,growth,country,2
minister,complained,lok,2
complained,lok,speaker,2
rahul,gandhi,attend,2
gandhi,attend,swearingin,2
attend,swearingin,ceremony,2
swearingin,ceremony,newly,2
elected,rajasthan,chief,2
rahul,gandhi,also,2
chief,minister,ashok,2
minister,ashok,gehlot,2
rahul,gandhi,tweet,2
gandhi,tweet,hints,2
tweet,hints,tussle,2
hints,tussle,rajasthan,2
tussle,rajasthan,chief,2
chief,minister,solved,2
minister,solved,posts,2
solved,posts,photo,2
posts,photo,ashok,2
photo,ashok,gehlot,2
taking,high,road,2
sachin,pilot,saying,2
winner,shilpa,shinde,2
scrap,triple,talaq,2
consultation,various,leaders,2
dark,evil,forces,2
good,governance,rajasthan,2
governance,rajasthan,ashok,2
rajasthan,ashok,gehlot,2
evil,forces,colluding,2
congress,leader,sachin,2
leader,sachin,pilot,2
pilot,reaches,party,2
reaches,party,headquarters,2
headquarters,delhi,manu,2
delhi,manu,singhvi,2
manu,singhvi,also,2
singhvi,also,present,2
also,present,credit,2
present,credit,ani,2
leaders,address,media,2
watch,video,post,2
seats,sheila,dikshit,2
seven,seats,sheila,2
address,media,watch,2
specially,dark,evil,2
india,modified,agar,2
want,india,modified,2
elections,choose,lotus,2
india,specially,dark,2
hope,india,specially,2
govt,today,introduced,2
history,independent,india,2
making,paper,planes,2
paper,planes,throwing,2
credit,ani,track,2
ensure,good,governance,2
leaders,ensure,good,2
congress,leaders,ensure,2
gandhi,congress,leaders,2
various,leaders,congress,2
leaders,congress,president,2
congress,president,taken,2
president,taken,decisions,2
taken,decisions,ashok,2
decisions,ashok,gehlot,2
track,live,upd…,2
poor,voted,power,2
guarantee,poor,voted,2
promises,minimum,income,2
congress,yashwant,sinha,2
strengthen,congress,yashwant,2
entry,strengthen,congress,2
priyankas,entry,strengthen,2
chief,minister,designate,2
minister,designate,sachin,2
designate,sachin,pilot,2
sachin,pilot,would,2
pilot,would,like,2
thank,congress,president,2
forces,colluding,congress,2
work,mlas,claimed,2
official,work,mlas,2
showing,official,work,2
cm,showing,official,2
upset,cm,showing,2
reportedly,upset,cm,2
mlas,reportedly,upset,2
thank,rahul,gandhi,2
asked,party,workers,2
workers,willing,contest,2
congress,ts,singh,2
fear,ur,opponents,2
still,want,power,2
want,power,make,2
power,make,next,2
make,next,pm,2
today,heard,chants,2
heard,chants,like,2
chants,like,gandhi,2
like,gandhi,family,2
sonia,rahul,mom,2
strategy,something,instill,2
something,instill,confidence,2
instill,confidence,followers,2
confidence,followers,fear,2
followers,fear,ur,2
seats,rjd,seats,2
without,congress,akhilesh,2
won’t,show,faith,2
seats,jmm,seats,2
congress,seats,jmm,2
show,faith,young,2
faith,young,leaders,2
young,leaders,eect,2
leaders,eect,country,2
eect,country,show,2
country,show,faith,2
itweet:the,differentiation,offered,2
differentiation,offered,tone,2
offered,tone,active,2
tone,active,test,2
active,test,states,2
yadav,mayawati,alliance,2
elections,without,congress,2
vote,congress,first,2
rajya,set,take,2
changer,mere,hype,2
game,changer,mere,2
politics,game,changer,2
vadra’s,entry,active,2
love,rahul,gandhi,2
modis,love,rahul,2
pm,modis,love,2
defeat,pm,modis,2
say,defeat,pm,2
dont,say,defeat,2
polls,hindustan,times,2
congress,trinamool,congress,2
trinamool,congress,rajya,2
congress,rajya,set,2
live,munghana,lonenefm,2
contest,elections,without,2
lekota,live,munghana,2
mosioua,lekota,live,2
hon,mosioua,lekota,2
challenging,open,issue,2
prove,challenging,open,2
pm,prove,challenging,2
dear,pm,prove,2
people,hon,mosioua,2
congress,people,hon,2
president,congress,people,2
set,take,tomorrow,2
sp+,would,like,2
would,like,contest,2
like,contest,elections,2
anymore,sonia,rahul,2
mom,anymore,sonia,2
call,mom,anymore,2
alliance,jharkhand,upa,2
advising,congress,party,2
rajan,advising,congress,2
raghuram,rajan,advising,2
plane,towards,finance,2
towards,finance,minister,2
finance,minister,defence,2
minister,defence,minister,2
defence,minister,complained,2
selfish,selfcentered,indians,2
selfcentered,indians,voted,2
indians,voted,going,2
could,rout,nda,2
upa,could,rout,2
jharkhand,upa,could,2
seal,alliance,jharkhand,2
wont,call,mom,2
jmm,seal,alliance,2
congress,jmm,seal,2
away,national,security,2
run,away,national,2
person,run,away,2
coward,person,run,2
modi,coward,person,2
narendra,modi,coward,2
personally,handing,crore,2
accuses,personally,handing,2
hits,accuses,personally,2
angry,hits,accuses,2
voted,going,vote,2
going,vote,congress,2
congress,party,ahead,2
party,ahead,elections,2
ahead,elections,heres,2
elections,heres,former,2
rahul,wont,call,2
gandhi,family,chor,2
family,chor,hai,2
chor,hai,maa,2
hai,maa,chor,2
chor,hai,sunke,2
hai,sunke,mazaa,2
sunke,mazaa,aaya,2
idiots,congress,disrupt,2
congress,disrupt,arun,2
disrupt,arun,jaitleys,2
arun,jaitleys,speech,2
jaitleys,speech,hurled,2
speech,hurled,paper,2
hurled,paper,planes,2
miss,opportunity,hug,2
opportunity,hug,work,2
hug,work,poor,2
amethi,congress,chief,2
parliament,amethi,congress,2
paper,planes,jaitley,2
planes,jaitley,first,2
jaitley,first,mps,2
first,mps,whose,2
mps,whose,leader,2
reservation,economically,weaker,2
economically,weaker,section,2
weaker,section,society,2
chowkidar,vs,lootere,2
meeting,goa,minister,2
singh,deo,wins,2
hype,heres,cnx,2
rahul,gandhi,addressed,2
declares,victory,madhya,2
victory,madhya,pradesh,2
nath,says,press,2
says,press,conference,2
press,conference,congress,2
conference,congress,got,2
many,states,winning,2
quotes,congress,president,2
parliament,adjourned,till,2
houses,parliament,adjourned,2
protest,houses,parliament,2
congress​,protest,houses,2
trinamool,congress​,protest,2
india,trinamool,congress​,2
gandhi,addressed,media,2
frequently,asking,rahul,2
addressed,media,today,2
media,today,party,2
today,party,set,2
party,set,win,2
set,win,rajasthan,2
samajwadi,party,provide,2
party,provide,support,2
provide,support,congress,2
support,congress,madhya,2
madhya,pradesh,says,2
akhilesh,yadav,track,2
yadav,track,updates,2
congress,delegation,complaint,2
delegation,complaint,telangana,2
congress,declares,victory,2
mahajan,frequently,asking,2
minority,population,congress,2
tmc,mps,protesting,2
congress,congressional,caucasian,2
call,second,largest,2
second,largest,party,2
largest,party,states,2
party,states,sanjay,2
states,sanjay,singh,2
reflects,serious,gheraoing,2
serious,gheraoing,speechless,2
oh,adore,great,2
adore,great,role,2
great,role,model,2
role,model,country,2
protesting,well,lok,2
mps,protesting,well,2
meanwhile,tmc,mps,2
congresswoman,democrat,making,2
else,meanwhile,tmc,2
anything,else,meanwhile,2
discuss,anything,else,2
we’ll,discuss,anything,2
discussion,we’ll,discuss,2
misuse,discussion,we’ll,2
issue,misuse,discussion,2
authenticate,tape,govt,2
tape,govt,agency,2
govt,agency,speaker,2
agency,speaker,sumitra,2
sumitra,mahajan,frequently,2
evening,inauguration,congresswoman,2
inauguration,congresswoman,democrat,2
complaint,telangana,chief,2
telangana,chief,electoral,2
chief,electoral,officer,2
stay,strong,mr,2
increase,women’s,participation,2
women’s,participation,politics,2
participation,politics,congress,2
congress,leader,wrote,2
leader,wrote,state,2
reservation,live,updates,2
trinamool,congress,tmc,2
congress,delegates,meet,2
delegates,meet,governor,2
meet,governor,patel,2
calm,storm,congress,2
live,updates,percent,2
updates,percent,quota,2
percent,quota,underway,2
strong,mr,president,2
electoral,officer,raising,2
mr,president,true,2
president,true,americans,2
true,americans,saw,2
americans,saw,yesterday,2
saw,yesterday,many,2
yesterday,many,newly,2
many,newly,elected,2
newly,elected,democratic,2
elected,democratic,congress,2
quota,underway,says,2
president,visit,gujarat,2
congress,president,visit,2
meets,rahul,mission,2
gandhi,meets,rahul,2
next,like,retweet,2
initiative,increase,women’s,2
go,worst,ever,2
clp,leaders,discuss,2
officer,raising,suspicions,2
raising,suspicions,evms,2
congress,didn’t,even,2
didn’t,even,make,2
even,make,half,2
make,half,way,2
mark,rajasthan,election,2
rajasthan,election,suppose,2
election,suppose,done,2
suppose,done,deal,2
repairs,new,construction,2
outgoing,rajasthan,chief,2
pradesh,congress,chandigarh,2
ticket,pradesh,congress,2
applies,ticket,pradesh,2
shergill,applies,ticket,2
jaiveer,shergill,applies,2
national,spokesperson,jaiveer,2
congress,national,spokesperson,2
minister,vasundhara,rajes,2
vasundhara,rajes,tweet,2
rajes,tweet,congratulating,2
congress,party,seeks,2
party,seeks,appointment,2
seeks,appointment,late,2
appointment,late,tonight,2
late,tonight,madhya,2
tonight,madhya,pradesh,2
pradesh,governor,patel,2
population,congress,congressional,2
whites,minority,population,2
deo,wins,track,2
reaches,rahul,gandhis,2
taking,inputs,different,2
decided,seats,respectively,2
ncp,decided,seats,2
party,ncp,decided,2
congress,party,ncp,2
elections,nationalist,congress,2
upcoming,elections,nationalist,2
ahead,upcoming,elections,2
inputs,different,people,2
ashok,gehlot,reaches,2
gehlot,reaches,congress,2
reaches,congress,president,2
moment,someone,started,2
pilot,reaches,rahul,2
residence,delhi,congress,2
ministerial,pick,taking,2
congress,president,tough,2
president,tough,task,2
tough,task,today,2
task,today,deciding,2
someone,started,shouting,2
kc,venugopal,india,2
venugopal,india,congress,2
congress,committee,rajasthan,2
committee,rajasthan,arrives,2
rajasthan,arrives,congress,2
arrives,congress,president,2
started,shouting,maa,2
shouting,maa,chor,2
chor,hai,face,2
pick,taking,inputs,2
chief,ministerial,pick,2
clearly,reflects,serious,2
want,defeat,drive,2
wins,track,updates,2
quota,poor,jumla,2
poor,jumla,congress,2
kamal,nath,arrives,2
nath,arrives,congress,2
arrives,congress,party,2
party,office,madhya,2
office,madhya,pradeshs,2
madhya,pradeshs,track,2
pradeshs,track,live,2
thing,rahul,gandhi,2
gandhi,said,mukt,2
said,mukt,want,2
mukt,want,defeat,2
several,fmr,cm,2
gandhi,chief,ministerial,2
leaders,several,fmr,2
warning,leaders,several,2
issued,warning,leaders,2
literally,rofl,moment,2
rofl,moment,someone,2
decision,today,read,2
today,read,live,2
read,live,updates,2
congress,party,also,2
gandhi,congress,secret,2
congress,secret,tool,2
secret,tool,election,2
tool,election,season,2
rahul,gandhi,chief,2
chhattisgarh,congress,chief,2
congress,chief,surprise,2
chief,surprise,win,2
leader,said,jd(s,2
malicious,campaign,priyanka,2
firs,malicious,campaign,2
nationwide,firs,malicious,2
file,nationwide,firs,2
congress,file,nationwide,2
making,rahul,pm,2
vadra,appointed,india,2
modi,arrests,india,2
modi,modi,arrests,2
settle,modi,modi,2
rivals,demanded,jd(s,2
ageold,rivals,demanded,2
jd(s,ageold,rivals,2
said,jd(s,ageold,2
thieves,settle,modi,2
surprise,win,state,2
thing,remains,unfinished,2
important,thing,remains,2
one,important,thing,2
ever,since,came,2
house,monday,friday,2
present,house,monday,2
asking,present,house,2
mps,asking,present,2
whip,mps,asking,2
threeline,whip,mps,2
issues,threeline,whip,2
party,issues,threeline,2
paper,planes,clearly,2
planes,clearly,reflects,2
campaign,priyanka,congress,2
priyanka,congress,itcell,2
congress,itcell,khandar,2
appointed,one,two,2
win,state,read,2
hai,face,moment,2
face,moment,like,2
election,getting,near,2
getting,near,dear,2
politics,appointed,congress,2
active,politics,appointed,2
near,dear,friends,2
chief,minister,ask,2
minister,ask,rahul,2
ask,rahul,sonia,2
sonia,gandhi,said,2
gandhi,said,response,2
favour,kamal,nath,2
kamal,nath,madhya,2
nath,madhya,pradesh,2
madhya,pradesh,choice,2
pradesh,choice,left,2
choice,left,rahul,2
left,rahul,gandhi,2
dear,friends,please,2
friends,please,keep,2
please,keep,watching,2
keep,watching,start,2
watching,start,visiting,2
manifesto,final,jumla,2
calls,manifesto,final,2
opposition,calls,manifesto,2
one,two,congress,2
mere,hype,heres,2
heres,cnx,opinion,2
show,palestine,parents,2
people,need,read,2
raj,thank,modi,2
reply,congress,antimodi,2
congress,antimodi,supporters,2
antimodi,supporters,till,2
congress,raj,thank,2
today,congress,raj,2
even,today,congress,2
lawyers,voted,favour,2
party,today,headed,2
led,prajakutami,fight,2
alliance,one,snapshot,2
kept,alliance,one,2
congress,kept,alliance,2
prajakutami,fight,polls,2
need,read,also,2
modi,ji,giving,2
jai,congress,echoing,2
congress,jai,congress,2
mahila,congress,jai,2
pradesh,mahila,congress,2
office,pradesh,mahila,2
new,office,pradesh,2
congrats,new,office,2
supporters,congrats,new,2
congress,supporters,congrats,2
ji,congress,supporters,2
ji,ji,congress,2
read,also,supporters,2
fight,polls,together,2
polls,together,telangana,2
thank,modi,ji,2
related,sports,plz,2
congress,zero,value,2
thanks,ji,thank,2
kept,whining,hon,2
popular,congress,party,2
talented,popular,congress,2
matter,talented,popular,2
party,matter,talented,2
ayes,noes,passed,2
tone,congress,campaign,2
set,tone,congress,2
today,set,tone,2
rally,today,set,2
patna,rally,today,2
party,factionalism,divisive,2
noes,passed,thanks,2
passed,thanks,ji,2
resigned,saturday,accusing,2
important,related,sports,2
ji,thank,even,2
thank,even,james,2
ahead,congress,leader,2
gujarat,ahead,congress,2
jolt,gujarat,ahead,2
congress,party,matter,2
support,congress,party,2
dont,support,congress,2
save,congress,tactics!😂😂,2
reason,dont,support,2
main,reason,dont,2
tragedy,country,grandold,2
giving,safe,india,2
ji,giving,safe,2
headed,gentleman,doesn’t,2
gentleman,doesn’t,even,2
doesn’t,even,understanding,2
others,care,little,2
first,openly,person,2
openly,person,sworn,2
person,sworn,senate,2
captain,lost,series,2
safe,guard,accused,2
rose,valley,etc,2
split,resources,power,2
see,split,resources,2
else,see,split,2
whove,lost,money,2
people,whove,lost,2
lacs,people,whove,2
little,lacs,people,2
care,little,lacs,2
leaders,others,care,2
targetted,leadership,raising,2
vote,anyone,else,2
yrs,vote,anyone,2
last,yrs,vote,2
work,last,yrs,2
pace,work,last,2
get,pace,work,2
elect,get,pace,2
choices,elect,get,2
one,pm,candidate,2
narendra,modi,transform,2
many,senior,congress,2
modi,transform,india,2
transform,india,totally,2
india,totally,rahul,2
history,first,openly,2
makes,history,first,2
sinema,makes,history,2
kyrsten,sinema,makes,2
leadership,raising,agustawestland,2
fm,speaking,source:ls,2
speaking,source:ls,tv,2
answer,rahul,gandhi,2
congress,party,led,2
farmers,party,comes,2
marginal,farmers,party,2
loans,marginal,farmers,2
waive,loans,marginal,2
promises,waive,loans,2
president,promises,waive,2
today,really,stunned,2
really,stunned,pappu,2
stunned,pappu,gandhi,2
yes,agenda,comes,2
agenda,comes,life,2
comes,life,congress,2
congress,president,steer,2
towards,congress,president,2
looking,towards,congress,2
country,looking,towards,2
people,country,looking,2
life,congress,make,2
congress,make,sure,2
let,us,learn,2
us,learn,congress,2
learn,congress,captain,2
congress,captain,lost,2
worse,even,people,2
whining,hon,pm,2
zero,value,mayawati,2
gandhi,never,fact,2
takes,stage,share,2
programme,invited,would,2
never,said,reason,2
know,never,said,2
sarcastic,know,never,2
watch,live,updates,2
aree,sarcastic,know,2
whatever,says,meaningless,2
know,whatever,says,2
everyday,know,whatever,2
modi,everyday,know,2
farmers,modi,everyday,2
policies,farmers,modi,2
reunites,seat,sharing,2
seat,sharing,maharashtra,2
leader,takes,stage,2
organized,fascilitation,programme,2
congress,leader,takes,2
minister,senior,congress,2
union,minister,senior,2
took,vow,silence,2
party,took,vow,2
service,party,took,2
great,service,party,2
maam,mr,always,2
mr,always,aspires,2
always,aspires,new,2
gowda,family,naidu,2
deve,gowda,family,2
family,deve,gowda,2
yadav,family,deve,2
fascilitation,programme,invited,2
committee,organized,fascilitation,2
value,mayawati,akhilesh,2
people,india,trust,2
palestine,parents,lied,2
let,us,see,2
rope,smaller,allies,2
efforts,rope,smaller,2
sealed’,efforts,rope,2
polls,sealed’,efforts,2
lok,polls,sealed’,2
congressncp,alliance,lok,2
slap,entire,congress,2
entire,congress,family,2
congress,family,face,2
family,face,ji,2
face,ji,people,2
ji,people,india,2
congress,spreading,lies,2
congress,committee,organized,2
witnesses,fireworks,clash,2
fireworks,clash,fighter,2
clash,fighter,jet,2
cursed,rajiv,gandhi,2
prepares,lok,elections,2
congress,prepares,lok,2
polls,congress,prepares,2
defeat,polls,congress,2
alliance,cursed,rajiv,2
lok,alliance,cursed,2
reason,people,vote,2
said,reason,people,2
today,kaimur,district,2
kaimur,district,congress,2
family,lalu,yadav,2
mulayam,family,lalu,2
family,mulayam,family,2
award,super,intelligent,2
ji,shri,ji,2
slogan,victory,rally,2
victory,rally,scary,2
rally,scary,congress,2
scary,congress,agent,2
congress,agent,pakistan,2
every,speech,succeeds,2
speech,succeeds,times,2
think,great,service,2
hilarious,used,think,2
used,think,place,2
self,screwer,congrats,2
intelligent,self,screwer,2
super,intelligent,self,2
siss,award,super,2
karunanidhi,family,mulayam,2
acclaimed,siss,award,2
internationally,acclaimed,siss,2
awarded,internationally,acclaimed,2
hindus,realise,anyways,2
let,hindus,realise,2
congress,let,hindus,2
along,congress,let,2
verma,along,congress,2
alok,verma,along,2
hits,corrupt,alok,2
first,hits,corrupt,2
six,candidates,deal,2
finalises,six,candidates,2
mayawati,akhilesh,yadav,2
shri,ji,giving,2
ji,giving,us,2
giving,us,platform,2
us,platform,work,2
senate,said,reject,2
said,reject,anything,2
reject,anything,fund,2
family,karunanidhi,family,2
sonia,family,karunanidhi,2
every,defeat,evms,2
unwaveringly,every,defeat,2
congress,unwaveringly,every,2
trusted,congress,unwaveringly,2
machines,trusted,congress,2
evm,machines,trusted,2
said,use,name,2
use,name,youre,2
name,youre,right,2
youre,right,ridiculous,2
aspires,new,low,2
new,low,every,2
low,every,speech,2
hearing,slogan,victory,2
president,lead,antinarendra,2
congress,president,lead,2
prove,congress,president,2
could,prove,congress,2
opinion|,could,prove,2
shall,march,ltcc,2
party,shall,march,2
congress,party,shall,2
work,congress,party,2
platform,work,congress,2
totally,rahul,gandhi,2
never,fact,must,2
cnx,opinion,poll,2
even,khangress,shrunken,2
people,natural,dislike,2
listen,khoongressi,farts,2
amethi??😡😡,listen,khoongressi,2
pic,amethi??😡😡,listen,2
share,pic,amethi??😡😡,2
nadu,pradesh,congress,2
tamil,nadu,pradesh,2
committees,tamil,nadu,2
various,committees,tamil,2
appointment,various,committees,2
dare,share,pic,2
pappu,dare,share,2
hello,pappu,dare,2
khangress,shrunken,wl,2
win,even,khangress,2
finance,minister,responds,2
cant,win,even,2
dandi,kutir,gandhinagar,2
laser,projection,show,2
rahul,gandhi,director,2
gandhi,director,removed,2
director,removed,midnight,2
removed,midnight,sc,2
midnight,sc,reinstated,2
sc,reinstated,want,2
keep,good,work,2
sound,poll,lucknow,2
secretary,sound,poll,2
general,secretary,sound,2
really,effective,professional,2
minister,responds,says,2
chaplain,new,congress,2
followed,meeting,state,2
opposition,sail,opposition,2
audio,tape,minister,2
first,set,passed,2
passed,new,diverse,2
new,diverse,u.s,2
diverse,u.s,ever,2
u.s,ever,includes,2
ever,includes,maintaining,2
includes,maintaining,funding,2
last,occasion,rahul,2
cheers,unprecedented,amount,2
unprecedented,amount,making,2
amount,making,history,2
making,history,month,2
occasion,rahul,gandhi,2
hits,opposition,sail,2
house,chaplain,new,2
rahul,gandhi,manufactured,2
gandhi,manufactured,conversation,2
court,verdict,stated,2
verdict,stated,scam,2
rahul,president,parliament,2
introduction,rahul,president,2
antihindu,chornia,sonia,2
cp,meet,party,2
congress,antihindu,chornia,2
chor,congress,antihindu,2
antihindu,chor,congress,2
stated,scam,come,2
prime,minister,dont,2
remain,house,chaplain,2
effective,professional,way,2
professional,way,govern,2
movies,made,depicting,2
mehsana,amreli,seat,2
welfare,development,islands,2
dedicated,welfare,development,2
revolution,holistic,development,2
new,revolution,holistic,2
team,new,revolution,2
congress,team,new,2
mk,stalin,rahul,2
stalin,rahul,gandhi,2
pm,candidate,general,2
candidate,general,elections,2
general,elections,says,2
elections,says,president,2
seat,strong,presence,2
amreli,seat,strong,2
elections,mehsana,amreli,2
headquarters,ahead,lok,2
contest,elections,mehsana,2
might,contest,elections,2
said,might,contest,2
sources,said,might,2
sewa,dal,convention,2
statelevel,sewa,dal,2
address,statelevel,sewa,2
ajmer,address,statelevel,2
gandhi,ajmer,address,2
rahul,gandhi,ajmer,2
spreading,fake,news,2
unanimously,passed,resolution,2
year,old,man,2
opinion,poll,says,2
congress,discussed,telangana,2
