W1,W2,W3,F
counting,centre,madhya,3
pradesh,lok,elections,3
updates,watch,special,3
uttar,pradesh,lok,3
party,learning,anything,3
shame,party,learning,3
sister,shame,party,3
thief,sister,shame,3
pappu,thief,sister,3
win,pappu,thief,3
modi,win,pappu,3
congress,modi,win,3
gandhi,congress,modi,3
face,rahul,gandhi,3
slap,face,rahul,3
seven,lok,seats,3
timesmega,poll,slap,3
wish,town,issue,3
jaypee,wish,town,3
solve,jaypee,wish,3
occasion,solve,jaypee,3
rise,occasion,solve,3
must,rise,occasion,3
congress,mp,joined,3
mp,joined,wednesday,3
joined,wednesday,many,3
coin,two,sides,3
sides,coin,two,3
congress,two,sides,3
learning,anything,since,3
anything,since,defeat,3
since,defeat,years,3
rest,uses,old,3
get,seats,uttar,3
won’t,get,seats,3
honored,hate,violence,3
win,general,election,3
contest,lok,polls,3
rahul,gandhi,says,3
moved,privilege,motion,3
follow,live,updates,3
congress,allies,allies,3
allies,allies,rest,3
allies,rest,uses,3
uses,old,school,3
defeat,years,ago,3
pm,narendra,modi,3
fastest,updates,follow,3
total,vote,seats,3
vote,seats,total,3
coverage,live,ndtv,3
minister,narendra,modi,3
two,states,rajasthan,3
pvt,ltd,pappu,3
congress,pvt,ltd,3
ago,time,worse,3
years,ago,time,3
win,elections,india,3
ltd,pappu,khan,3
cant,solve,kashmir,3
kashmir,need,pm,3
lok,seats,uttar,3
fell,pattern,announcing,3
pattern,announcing,alliance,3
tax,payers,money,3
ravi,shankar,prasad,3
government,done,span,3
parties,adopting,congressism,3
noncongress,parties,adopting,3
opinion,noncongress,parties,3
announcing,alliance,says,3
done,span,four,3
span,four,years,3
pm,ji,ji,3
four,years,india,3
years,india,couldnt,3
india,couldnt,last,3
solve,kashmir,need,3
need,pm,solve,3
get,seats,congress,3
congress,cant,solve,3
admitting,congress,cant,3
uttar,pradesh,defeat,3
prime,minister,next,2
jain,candidate,santosh,2
privilege,motion,president,2
dear,wise,people,2
crucial,role,congress,2
play,crucial,role,2
congress,candidate,rekhchand,2
candidate,rekhchand,jain,2
rekhchand,jain,candidate,2
candidate,santosh,votes,2
wise,people,dont,2
could,play,crucial,2
congress,lost,ethics,2
lost,ethics,political,2
nishikant,moved,privilege,2
ethics,political,party,2
political,party,ashamed,2
want,performance,good,2
performance,good,governance,2
motion,president,controversy,2
role,congress,indian,2
modi,govt,passes,2
congress,indian,election,2
pappu,pose,show,2
pose,show,heat,2
show,heat,namo,2
loot,money,power,2
versus,faceoff,ahead,2
heat,namo,stroke,2
namo,stroke,realty,2
stroke,realty,never,2
realty,never,digest,2
never,digest,congress,2
follow,track,live,2
iquote,versus,faceoff,2
congress,govt,acc…,2
congress,congress,ad,2
congress,ad,dynasty,2
unfazed,meet,says,2
meet,says,prepping,2
lok,seats,delhi,2
good,governance,vote,2
governance,vote,congress,2
congress,left,fighting,2
offering,rs,cr,2
anurag,thakur,nishikant,2
jaiswal,anurag,thakur,2
anger,evident”,congress,2
people’s,anger,evident”,2
today,people’s,anger,2
continued,today,people’s,2
losing,continued,today,2
alliance,congress,left,2
cr,congress,legislators,2
interesting,alliance,congress,2
got,interesting,alliance,2
sanjay,jaiswal,anurag,2
call,us,info,2
seats,got,interesting,2
fight,seats,got,2
mps,sanjay,jaiswal,2
dunga,dear,wise,2
rs,cr,congress,2
congress,legislators,siddaramaiah,2
congress,means,dynasty,2
every,spokesperson,get,2
means,dynasty,scam,2
dynasty,scam,suppression,2
scam,suppression,hindus,2
elections,impact,find,2
opposition,loot,money,2
money,opposition,loot,2
payers,money,opposition,2
thakur,nishikant,moved,2
accused,ruling,dispensation,2
counting,votes,elect,2
manifesto,accused,ruling,2
gehlot,track,live,2
ashok,gehlot,track,2
leader,ashok,gehlot,2
congress,leader,ashok,2
waste,tax,payers,2
na,khane,dunga,2
khane,dunga,dear,2
want,every,spokesperson,2
parliamentarians,present,today,2
spokesperson,get,offensive,2
joined,congress,denied,2
even,lesser,seats,2
lesser,seats,ruling,2
opposition,unity,coming,2
seats,ruling,upcoming,2
ruling,upcoming,still,2
upcoming,still,form,2
still,form,ii,2
form,ii,government,2
ii,government,help,2
government,help,allies,2
delhi,cm,said,2
delhi,delhi,cm,2
defeat,delhi,delhi,2
aap,defeat,delhi,2
delhi,aap,defeat,2
cannot,delhi,aap,2
congress,cannot,delhi,2
seats,advantage,seats,2
advantage,seats,advantage,2
years,years,challenge,2
congress,denied,ticket,2
march,even,lesser,2
party,march,even,2
feels,party,march,2
madhya,pradesh,threetime,2
commitment,na,khaunga,2
na,khaunga,na,2
khaunga,na,khane,2
done,educate,nota,2
work,done,educate,2
good,work,done,2
ppl,good,work,2
threetime,chief,minister,2
pradesh,threetime,chief,2
leading,madhya,pradesh,2
leader,feels,party,2
congress,leading,madhya,2
waive,takes,power,2
pledge,waive,takes,2
hollow,pledge,waive,2
campaign,hollow,pledge,2
kickstarted,campaign,hollow,2
minister,kickstarted,campaign,2
prime,minister,kickstarted,2
senior,leader,feels,2
go,ppl,good,2
singh,joined,congress,2
get,offensive,aggressive,2
amethi,seats,saved,2
godse,wud,cleaned,2
ppl,go,ppl,2
power,ppl,go,2
calls,gau,mlas,2
gau,mlas,camped,2
mlas,camped,resort,2
camped,resort,sakranti,2
opposition,friday,said,2
friday,said,eyeing,2
chowkidar,chor,hai,2
said,eyeing,northeastern,2
shape,things,come,2
things,come,lose,2
money,power,ppl,2
come,lose,vindictive,2
lose,vindictive,vicious,2
vindictive,vicious,way,2
eyeing,northeastern,states,2
antinational,congress,party,2
aggressive,antinational,congress,2
offensive,aggressive,antinational,2
strains,godse,wud,2
even,strains,godse,2
opprtnty,even,strains,2
think,still,failed,2
lose,amethi,seats,2
congress,lose,amethi,2
saying,congress,lose,2
hmm,saying,congress,2
sartaj,singh,joined,2
minister,sartaj,singh,2
union,minister,sartaj,2
candidate,former,union,2
know,candidate,former,2
still,failed,understand,2
losted,opprtnty,even,2
failed,understand,truth,2
understand,truth,reality,2
truth,reality,vikas,2
reality,vikas,history,2
vikas,history,never,2
history,never,honored,2
never,honored,hate,2
hate,violence,losted,2
violence,losted,opprtnty,2
northeastern,states,forthcoming,2
supporters,across,country,2
faceoff,ahead,marketing,2
gaurd,confuse,twist,2
raised,pitch,govt,2
pitch,govt,led,2
govt,led,stalled,2
led,stalled,renewing,2
stalled,renewing,demand,2
says,pm,modi,2
looks,like,congress,2
trails,congress,leads,2
leads,trails,congress,2
raipur,leads,trails,2
office,raipur,leads,2
deserted,office,raipur,2
images,deserted,office,2
ani,images,deserted,2
congress,comes,power,2
one,two,seats,2
joint,parliamentary,committee,2
congress,overtaken,follow,2
pradesh,congress,overtaken,2
close,madhya,pradesh,2
wouldnt,hung,government,2
confuse,twist,turn,2
taken,gaurd,confuse,2
vasundhara,raje’s,trails,2
raga,taken,gaurd,2
chief,minister,vasundhara,2
twotime,chief,minister,2
time,defeats,congress’,2
seat,time,defeats,2
crucial,seat,time,2
retains,crucial,seat,2
raje,retains,crucial,2
vasundhara,raje,retains,2
row,defeats,congress’,2
time,row,defeats,2
retains,fourth,time,2
faceoff,retains,fourth,2
years,national,polls,2
next,years,national,2
semifinal,next,years,2
counted,semifinal,next,2
votes,counted,semifinal,2
resurgent,raised,pitch,2
congress,desperately,rafale,2
desperately,rafale,raga,2
rafale,raga,taken,2
chor,congress,pvt,2
using,winning,strategy,2
winning,strategy,parties,2
rafale,nirmala,sitharaman,2
farm,distress,issues,2
distress,issues,need,2
issues,need,addressed,2
need,addressed,feels,2
congress,eyeing,years,2
term,congress,eyeing,2
straight,term,congress,2
fourth,straight,term,2
looking,fourth,straight,2
topple,karnataka,government,2
karnataka,government,fails,2
government,fails,says,2
fails,says,congress,2
says,congress,minister,2
tenure,lost,respects,2
lost,respects,among,2
shows,improvement,ruling,2
improvement,ruling,trinamool,2
ruling,trinamool,congress,2
trinamool,congress,stay,2
congress,stay,single,2
modi,farm,distress,2
referendum,modi,farm,2
edge,state,seats,2
ji,ke,time,2
nirmala,sitharaman,takes,2
sitharaman,takes,congress,2
strategy,parties,planning,2
shedding,crocodile,tears,2
federal,front,anti,2
rahul,gandhi,lok,2
lok,rafale,deal,2
rafale,deal,says,2
ke,time,main,2
jeeti,ji,ke,2
congress,edge,state,2
congress,wouldnt,hung,2
towards,congress,wouldnt,2
people,towards,congress,2
rule,people,towards,2
years,rule,people,2
mp,years,rule,2
tough,fight,seen,2
fight,seen,congress,2
seen,congress,edge,2
minister,vasundhara,raje’s,2
raje’s,trails,congress,2
ahead,marketing,terms,2
another,stormy,session,2
session,monday,issued,2
monday,issued,threeline,2
issued,threeline,whips,2
threeline,whips,party,2
whips,party,parliamentarians,2
party,parliamentarians,present,2
modi,pm,india,2
chaos,amid,dogfight,2
amid,dogfight,mps,2
dogfight,mps,continued,2
chief,minister,narayansamy,2
says,chief,minister,2
elections,says,chief,2
challenged,congress’,narendra,2
sisodiya,challenged,congress’,2
citizen,finalizing,tickets,2
grade,citizen,finalizing,2
third,grade,citizen,2
jd,third,grade,2
treat,jd,third,2
congress,treat,jd,2
stormy,session,monday,2
yet,another,stormy,2
trails,congress,track,2
opposition,parties,delhi,2
people,dont,let,2
congress,supporters,across,2
coverage,day,ndtv,2
congress,govt,ac…,2
dont,let,support,2
home,turf,congress,2
contesting,home,turf,2
row,contesting,home,2
time,row,contesting,2
face,fourth,time,2
ministerial,face,fourth,2
chief,ministerial,face,2
let,support,fade,2
support,fade,away,2
next,prime,minister,2
pm,leads,polls,2
leads,polls,conquer,2
old,school,jour…,2
parliament,looks,set,2
looks,set,yet,2
set,yet,another,2
warns,congress,treat,2
cm,warns,congress,2
singh,sisodiya,challenged,2
yashpal,singh,sisodiya,2
rafale,says,falsehood,2
says,falsehood,eed,2
scream,high,density,2
high,density,rafel,2
density,rafel,give,2
rafel,give,comission,2
give,comission,call,2
comission,call,legal,2
reported,earlier,congress,2
earlier,congress,asked,2
congress,asked,seats,2
congress,coverup,party,2
much,congress,coverup,2
conceded,much,congress,2
media,conceded,much,2
made,media,conceded,2
claims,made,media,2
asked,seats,admk,2
seats,admk,dmk,2
admk,dmk,respectively,2
dmk,respectively,though,2
ruling,rafale,says,2
sc,ruling,rafale,2
welcomes,sc,ruling,2
opposition,consideration,haven’t,2
mla,yashpal,singh,2
sitting,mla,yashpal,2
candidate,sitting,mla,2
know,candidate,sitting,2
modi,lok,elections,2
partners,along,congress,2
taken,partners,along,2
haven’t,taken,partners,2
consideration,haven’t,taken,2
taken,opposition,consideration,2
remove,prime,minister,2
haven’t,taken,opposition,2
updates,follow,read,2
state,fastest,updates,2
map,state,fastest,2
narendra,modi,lok,2
special,coverage,live,2
follow,special,coverage,2
action,follow,special,2
catch,action,follow,2
truthful,commitment,na,2
fight,election,congress,2
modi,truthful,commitment,2
contest,congress,candidate,2
emergence,previously,party,2
party,emergence,previously,2
towards,party,emergence,2
disillusionment,towards,party,2
growing,disillusionment,towards,2
reflects,growing,disillusionment,2
states,reflects,growing,2
defeat,states,reflects,2
congress,seats,uttar,2
without,congress,seats,2
congress,put,focus,2
nc,congress,put,2
versa,nc,congress,2
via,versa,nc,2
pdp,via,versa,2
fighting,pdp,via,2
used,fighting,pdp,2
hits,congress,says,2
congress,says,opposition,2
says,opposition,evms,2
opposition,evms,sensing,2
gaur,contest,congress,2
congress,candidate,lok,2
elections,congress,working,2
candidate,lok,constituency,2
working,shoot,lie,2
shoot,lie,scoot,2
lie,scoot,spoil,2
scoot,spoil,reputation,2
spoil,reputation,modi,2
reputation,modi,rss,2
alliance,going,work,2
going,work,favour,2
work,favour,congresssp,2
favour,congresssp,alliance,2
congresssp,alliance,help,2
congress,needs,learn,2
late,night,tf,2
challenging,late,night,2
ss,challenging,late,2
party,alternative,writes,2
previously,party,alternative,2
makes,offer,veteran,2
party,makes,offer,2
constituency,party,makes,2
lok,constituency,party,2
sensing,defeat,upcoming,2
evm,hackathon,london,2
hackathon,london,congress,2
opinion,poll,results,2
regional,parties,take,2
parties,take,centrestage,2
take,centrestage,polls,2
centrestage,polls,near,2
congress,anti,national,2
anti,congress,anti,2
totally,anti,congress,2
stand,totally,anti,2
political,stand,totally,2
clarify,political,stand,2
let,clarify,political,2
hike,crying,like,2
power,hike,crying,2
guess,power,hike,2
trolling,guess,power,2
countries,dont,practice,2
congress,trolling,guess,2
poaching,mlas,party,2
exmla,join,congress,2
minister,exmla,join,2
former,minister,exmla,2
year,regional,parties,2
hope,keeps,national,2
keeps,national,parties,2
pass,cares,muslims,2
london,congress,sponsored,2
congress,sponsored,event,2
raj,cg,voters,2
cg,voters,already,2
voters,already,repenting,2
led,passes,court,2
passes,court,support,2
court,support,pass,2
support,pass,cares,2
already,repenting,voting,2
national,parties,congress,2
repenting,voting,corrupt,2
voting,corrupt,congress,2
corrupt,congress,vote,2
congress,vote,elections,2
sponsored,event,says,2
event,says,ravi,2
says,ravi,shankar,2
congress,standing,parliament,2
parties,congress,standing,2
congress,working,shoot,2
war,elections,congress,2
national,congress,janata,2
voters,worries,dhar,2
mood,among,voters,2
like,gm,candidate,2
gm,candidate,even,2
heard,assessment,get,2
assessment,get,loose,2
get,loose,seats,2
noncongress,parties,greater,2
tell,noncongress,parties,2
wont,tell,noncongress,2
journos,wont,tell,2
media,journos,wont,2
promote,dynasty,priyanka’s,2
dynasty,priyanka’s,entry,2
priyanka’s,entry,politics,2
defeat,form,allinace,2
common,candidate,jd(s,2
find,common,candidate,2
could,find,common,2
candidate,even,marks,2
even,marks,doesnt,2
marks,doesnt,ensure,2
among,voters,worries,2
worries,dhar,huge,2
perception,war,elections,2
dhar,huge,st,2
surjewala,quit,congress,2
quit,congress,nation,2
congress,nation,joining,2
nation,joining,hands,2
joining,hands,congress,2
popular,hashtags,voter,2
hashtags,voter,mood,2
voter,mood,self,2
mood,self,explanatory,2
many,senior,leaders,2
drama,lok,rahul,2
lok,rahul,threatens,2
rahul,threatens,play,2
got,lakh,votes,2
congress,got,lakh,2
population,congress,got,2
st,population,congress,2
views,congress,prospects,2
give,views,congress,2
pls,give,views,2
huge,st,population,2
fall,short,majority,2
doesnt,ensure,theyll,2
ensure,theyll,top,2
theyll,top,congress,2
claim,part,propaganda,2
denies,jd(s,claim,2
pathetic,state,india,2
state,india,looter,2
india,looter,upa,2
looter,upa,killed,2
passed,stages,walk,2
upa,killed,indian,2
killed,indian,economy,2
indian,economy,uphill,2
economy,uphill,task,2
uphill,task,revive,2
task,revive,economy,2
wants,see,vote,2
jd(s,claim,poaching,2
claim,poaching,mlas,2
solved,congress,party,2
congress,party,trying,2
party,trying,win,2
trying,win,perception,2
win,perception,war,2
right,claim,part,2
polls,pradeep,gupta,2
victorious,polls,pradeep,2
politically,charged,year,2
whos,likely,win,2
analysis,whos,likely,2
makes,analysis,whos,2
survey,makes,analysis,2
offer,contest,poll,2
got,offer,contest,2
claims,got,offer,2
veteran,claims,got,2
top,congress,like,2
charged,year,check,2
emerge,victorious,polls,2
year,check,dramatic,2
check,dramatic,events,2
dramatic,events,far,2
congress,like,reserved,2
like,reserved,category,2
whoever,wants,see,2
saw,coming,resurrected,2
didnt,saw,coming,2
issue,whip,mps,2
congress,janata,party,2
mlas,party,telling,2
differences,well,know,2
mayawati,says,congress,2
congress,farm,way,2
farm,way,late,2
way,late,money,2
late,money,sector,2
money,sector,increasing,2
sector,increasing,outlay,2
congress,taken,huge,2
pradesh,congress,taken,2
chhattisgarh,madhya,pradesh,2
congress,chhattisgarh,madhya,2
fight,congress,chhattisgarh,2
close,fight,congress,2
leads,catch,action,2
disappoint,loosing,states,2
loosing,states,didnt,2
states,didnt,lost,2
didnt,lost,plus,2
congress,led,campaign,2
opposition,parties,com…,2
lost,plus,states,2
plus,states,earlier,2
copies,congress,farm,2
says,congress,corrupt,2
rajasthan,seats,around,2
congress,corrupt,going,2
early,predictions,rajasthan,2
woke,early,predictions,2
polls,predicted,counting,2
exit,polls,predicted,2
heres,exit,polls,2
rss,done,mistake,2
done,mistake,since,2
mistake,since,modi,2
since,modi,congress,2
modi,congress,sonia,2
congress,sonia,pvnr,2
pradesh,heres,exit,2
madhya,pradesh,heres,2
government,madhya,pradesh,2
unseat,government,madhya,2
congress,unseat,government,2
old,party,happens,2
grand,old,party,2
hurt,grand,old,2
going,hurt,grand,2
corrupt,going,hurt,2
states,earlier,lets,2
earlier,lets,work,2
lets,work,hard,2
known,fact,everyone,2
reliant,confident,trying,2
called,majority,party,2
majority,party,lost,2
party,lost,everything,2
lost,everything,everywhere,2
everything,everywhere,ki,2
everywhere,ki,haar,2
ki,haar,nayi,2
haar,nayi,time,2
nayi,time,aiming,2
time,aiming,victory,2
aiming,victory,central,2
confident,trying,fool,2
congress,keep,keep,2
wahh,modi,ji,2
keep,keep,modi,2
keep,modi,truthful,2
respects,among,masses,2
election,congress,despite,2
congress,despite,differences,2
despite,differences,well,2
self,reliant,confident,2
make,self,reliant,2
trying,make,self,2
early,leads,catch,2
fact,everyone,support,2
everyone,support,congress,2
support,congress,keep,2
led,campaign,name,2
campaign,name,kisan”,2
name,kisan”,whereas,2
kisan”,whereas,fought,2
whereas,fought,election,2
fought,election,making,2
rajasthan,early,leads,2
worry,would,knows,2
vote,next,election,2
congress,rajasthan,early,2
pradesh,congress,rajasthan,2
ahead,madhya,pradesh,2
partys,official,handle,2
official,handle,starts,2
handle,starts,marketing,2
starts,marketing,promoting,2
marketing,promoting,film,2
predictions,rajasthan,seats,2
others,wave,effects,2
political,parties,alliance,2
congress,aap,stop,2
together,way,congress,2
fighting,together,way,2
think,fighting,together,2
analysts,think,fighting,2
calling,journalist,dog,2
journalist,dog,threatening,2
dog,threatening,physical,2
threatening,physical,assault,2
call,supporters,sachin,2
regional,parties,hung,2
gains,regional,parties,2
gains,gains,regional,2
loss,gains,gains,2
supporters,sachin,adarsh,2
really,wanna,give,2
wanna,give,another,2
give,another,term,2
another,term,know,2
manners,maketh,man,2
vacancies,pr,hold,2
ki,vacancies,pr,2
way,congress,aap,2
apologises,calling,journalist,2
congress,others,wave,2
chief,apologises,calling,2
farm,loan,waiver,2
sorry,correct,tweet,2
correct,tweet,inform,2
tweet,inform,also,2
inform,also,action,2
also,action,taken,2
action,taken,urgent,2
taken,urgent,enquiry,2
urgent,enquiry,needed,2
party,telling,truth,2
president,rahul,gandhi,2
ticket,told,think,2
contest,polls,seat,2
offered,contest,polls,2
visited,offered,contest,2
madhya,pradesh,cm,2
former,madhya,pradesh,2
leader,former,madhya,2
senior,leader,former,2
political,party,momentum,2
party,momentum,going,2
regime,ki,vacancies,2
mahachor,regime,ki,2
congress,mahachor,regime,2
wali,congress,mahachor,2
sp,three,cornered,2
dumped,sp,three,2
congress,dumped,sp,2
mp,telangana,mizoram,2
past,mp,telangana,2
edge,past,mp,2
rajasthan&amp;chattisgarh,edge,past,2
rout,rajasthan&amp;chattisgarh,edge,2
congress,rout,rajasthan&amp;chattisgarh,2
plotted,draw,political,2
draw,political,mileage,2
political,mileage,upcoming,2
heartland,congress,rout,2
hindi,heartland,congress,2
win,states,hindi,2
congress,win,states,2
predicting,congress,win,2
neck,predicting,congress,2
sticking,neck,predicting,2
right,nda,congress,2
nda,congress,others,2
three,cornered,fight,2
parasites,much,like,2
modi,parasites,much,2
facts,training,mind,2
ko,wali,congress,2
youth,ko,wali,2
chor,youth,ko,2
chaukidar,chor,youth,2
ki,chaukidar,chor,2
mana,ki,chaukidar,2
stats,right,nda,2
mind,think,einstein,2
training,mind,think,2
learning,facts,training,2
way,modi,parasites,2
education,learning,facts,2
congress,win,end,2
surprise,congress,win,2
spring,surprise,congress,2
mizoram,spring,surprise,2
telangana,mizoram,spring,2
term,know,every,2
know,every,way,2
every,way,modi,2
stay,single,largest,2
randeep,surjewala,quit,2
among,masses,due,2
wont,joining,says,2
says,aim,win,2
resignation,congress,clear,2
minister,resignation,congress,2
chief,minister,resignation,2
rajasthan,chief,minister,2
outgoing,rajasthan,chief,2
president,pm,candidate,2
closer,look,shows,2
ahead,lok,polls,2
look,shows,vindhyanchal,2
shows,vindhyanchal,region,2
one,gets,pm,2
gets,pm,would,2
pm,would,mamata,2
would,mamata,state,2
joining,says,aim,2
clarifies,wont,joining,2
fancy,platforms,screens,2
opposition,parties,together,2
screens,hq,swanky,2
congress,supporter,say,2
congress,heartland,states,2
supremo,odisha,cm,2
supporter,say,support,2
say,support,support,2
alliance,understand,alliance,2
form,alliance,understand,2
madhya,pradesh,party,2
pradesh,party,seats,2
congress,form,alliance,2
convincing,congress,form,2
mp,clarifies,wont,2
tired,convincing,congress,2
upcoming,lok,polls,2
mamata,state,chief,2
vindhyanchal,region,m.p,2
region,m.p,slowed,2
m.p,slowed,congress,2
pradesh,retweet,congress,2
couldnt,last,year…,2
congress,pledge,onetime,2
use,right,rightly,2
lightly,use,right,2
take,lightly,use,2
dont,take,lightly,2
madhya,pradesh,retweet,2
winning,madhya,pradesh,2
give,another,chance,2
party,think,corrupt,2
parties,party,think,2
two,parties,party,2
actually,eastern,congress,2
eastern,congress,cut,2
retweet,congress,like,2
weird,smart,politics,2
smart,politics,leverage,2
mayawati,read,track,2
slowed,congress,train,2
congress,train,power,2
train,power,region,2
madhya,pradesh,keep,2
pradesh,keep,mayawati,2
keep,mayawati,read,2
seesaw,congress,track,2
politics,leverage,jds,2
deal,congress,lok,2
seat,deal,congress,2
strike,seat,deal,2
trying,strike,seat,2
jds,trying,strike,2
leverage,jds,trying,2
platforms,screens,hq,2
delhi,fancy,platforms,2
cut,deeper,votes,2
shameful,time,today,2
way,yesterday,shameful,2
mentality,cost,congress,2
cost,congress,dearly,2
congress,dearly,elections,2
dearly,elections,going,2
get,share,opinion,2
day,virtually,left,2
virtually,left,part,2
modis,policies,centre,2
day,announced,alliance,2
announced,alliance,likely,2
