W1,W2,W3,F
talking,domestic,helps,4
patients,received,treatment,4
dear,citizens,pm,4
income,tax,exemption,4
twitter,congratulations,thnx,4
leader,like,shri,4
domestic,helps,unskilled,4
asking,present,house,4
also,issued,whip,4
needs,dear,citizens,4
inflation,last,years,4
exemption,limit,rs,4
come,together,fight,4
together,fight,one,4
namothe,surgical,strike,4
weaker,section,society,4
photo,twitter,congratulations,4
modi’s,josh,trump,4
tax,concessions,win,4
received,treatment,ayushman,4
india,needs,dear,4
pm,corruption,free,4
modi,convention,announce,4
sees,new,india,4
workers,persons,lower,4
unskilled,workers,persons,4
one,reason,vote,4
see,pm,modi,4
modi,done,lot,4
done,last,years,4
pm,modi,convention,4
lok,passes,reservation,4
really,really,want,4
ji,following,twitter,4
else,india,needs,4
convention,announce,tax,4
announce,tax,concessions,4
supreme,court,clears,4
policy,reforms,facilitating,4
us,defeat,thanks,4
helps,unskilled,workers,4
citizens,pm,corruption,4
free,governance,par,4
dear,modi,ji,4
opened,food,stall,4
president,sarvoday,foundation,4
flood,victims,lesserknown,4
locomotives,via,isro,4
satisfied,central,government,4
somewhat,satisfied,central,4
train,passengers,indian,4
