W1,W2,W3,W4,F
leader,diamond,leader,sara,4
present,house,today,sources,4
noncongress,govt,never,got,4
whip,mps,present,house,4
issues,whip,mps,present,4
since,independence,noncongress,govt,4
leader,sara,modi,koon,4
diamond,leader,sara,modi,4
chief,minister,vasundhara,raje,4
sara,modi,koon,jeeta,4
things,rahul,gandhi,narendra,4
gandhi,narendra,modi,must,4
rahul,gandhi,narendra,modi,4
ahead,congress,president,rahul,4
allies,ahead,congress,president,4
wins,allies,ahead,congress,4
india,congress,era,yuva,4
poll,triumph,rahul,gandhi,4
hours,poll,triumph,rahul,4
fallacy,says,political,analyst,4
would,fallacy,says,political,4
gandhi,would,fallacy,says,4
rahul,gandhi,would,fallacy,4
election,rahul,gandhi,would,4
contest,uttar,pradesh,entry,4
modi,koon,jeeta,wohe,4
secretary,reckon,contest,amethi,4
general,secretary,reckon,contest,4
uttar,pradesh,entry,congress,4
congress,general,secretary,reckon,4
joining,congress,general,secretary,4
gandhi,joining,congress,general,4
jaitley,replies,rahul,gandhi,4
showdown,jaitley,replies,rahul,4
rafale,showdown,jaitley,replies,4
govt,never,got,reelected,4
congress,dials,mayawati,madhya,4
jeeta,wohe,skinder,congratulations,4
koon,jeeta,wohe,skinder,4
waver,congress,dials,mayawati,4
congress,keen,field,former,4
dials,mayawati,madhya,pradesh,4
rahul,gandhi,visit,gujarat,4
vote,decide,future,country,4
triumph,truth,time,jumlas,4
difference,vote,decide,future,4
make,difference,vote,decide,4
vote,make,difference,vote,4
christian,michel,conform,knows,4
like,prime,minister,narendra,4
rajasthan,deputy,chief,minister,4
congress,president,rahul,gandhis,4
president,rahul,gandhis,residence,4
delhi,track,live,updates,4
president,rahul,gandhi,visit,4
gandhi,visit,gujarat,mr,4
mayawati,madhya,pradesh,sources,4
crores,legal,fees,private,4
pocket,crores,legal,fees,4
also,pocket,crores,legal,4
yet,also,pocket,crores,4
someone,yet,also,pocket,4
attack,someone,yet,also,4
congress,attack,someone,yet,4
north,east,congress,coordination,4
chairman,north,east,congress,4
well,done,sis,congress,4
done,sis,congress,deliver,4
meghalaya,chairman,north,east,4
gandhis,rajasthan,decision,today,4
rahul,gandhis,rajasthan,decision,4
pilot,rahul,gandhis,rajasthan,4
decide,future,country,vote,4
congress,president,meet,party’s,4
president,meet,party’s,general,4
voted,power,rahul,gandhi,4
general,secretaries,state,incharges,4
modi,must,focus,runup,4
meet,party’s,general,secretaries/,4
party’s,general,secretaries/,incharges,4
general,secretaries/,incharges,tomorrow,4
secretaries/,incharges,tomorrow,delhi,4
incharges,tomorrow,delhi,discussion,4
aggressive,raga,corner,modi,4
raga,corner,modi,regime,4
corner,modi,regime,farm,4
modi,regime,farm,distress,4
regime,farm,distress,graft,4
farm,distress,graft,issues,4
meeting,partys,general,secretaries,4
vote,congress,vote,htt…,4
ani,track,live,updates,4
gehlot,sachin,pilot,rahul,4
country,vote,congress,htt…,4
sachin,pilot,rahul,gandhis,4
waive,farm,loans,voted,4
farm,loans,voted,power,4
future,country,vote,congress,4
narendra,modi,must,focus,4
chairperson,smt,sonia,gandhi,4
damodar,das,modi,ji,4
farm,politics,main,agenda,4
good,morning,true,india,4
may,join,upa,ahead,4
latter,may,join,upa,4
speculation,latter,may,join,4
sparked,speculation,latter,may,4
leader,sparked,speculation,latter,4
seats,congress,wherein,congress,4
congress,president,mr,address,4
president,mr,address,rally,4
mr,address,rally,march,4
address,rally,march,meeting,4
rally,march,meeting,mark,4
runup,farm,politics,main,4
gains,states,kcr,gold,4
azadi,fear,azadi,jumlas,4
said,contest,seats,uttar,4
fear,azadi,jumlas,azadi,4
azadi,jumlas,azadi,unemployment,4
jumlas,azadi,unemployment,azadi,4
azadi,unemployment,azadi,lies,4
alone,sp,forged,alliance,4
going,alone,sp,forged,4
unemployment,azadi,lies,azadi,4
azadi,lies,azadi,eat,4
updates,follow,special,coverage,4
live,updates,follow,special,4
states,kcr,gold,telangana,4
congress,gains,states,kcr,4
narendra,damodar,das,modi,4
without,tuition,wants,india’s,4
year,new,new,attend,4
new,year,new,new,4
nation,inflation,less,need,4
looted,nation,inflation,less,4
family,looted,nation,inflation,4
gandhi,family,looted,nation,4
sardarpura,track,live,updates,4
said,women’s,would,passed,4
man,can’t,speak,minutes,4
can’t,speak,minutes,without,4
speak,minutes,without,tuition,4
minutes,without,tuition,wants,4
tuition,wants,india’s,prime,4
want,see,next,instead,4
wants,india’s,prime,minister,4
elections,hints,may,fight,4
women’s,would,passed,reserves,4
would,passed,reserves,seats,4
passed,reserves,seats,parliament,4
today,seats,congress,wherein,4
congress,leader,mallikarjun,kharge,4
congress,akhilesh,yadav,mayawati,4
telangana,catch,action,follow,4
pledge,onetime,farm,loan,4
party,pledge,onetime,farm,4
congress,party,pledge,onetime,4
track,live,updates,follow,4
lies,azadi,eat,pray,4
azadi,eat,pray,love,4
congress,ruled,says,caste,4
yes,new,ppl,worse,4
new,ppl,worse,even,4
chief,minister,madhya,pradesh,4
agustawestland,reality,upa,govt,4
ignore,laugh,fight,win,4
govt,july,never,withdrew,4
things,two,time,periods,4
media,coverage,last,two,4
aicc,general,secretary,organisation,4
caste,first,everyone,else,4
says,caste,first,everyone,4
ruled,says,caste,first,4
women,child,development,minister,4
hum,leke,rahenge,azadi,4
coverage,last,two,days,4
puja,nomination,upa,chairperson,4
trinamool,mps,protest,near,4
government,trinamool,mps,protest,4
rahul,gandhi,pm,candidate,4
nomination,upa,chairperson,smt,4
appointed,party,general,secretary,4
pillar,process,second,pricing,4
process,second,pricing,third,4
congress,mp,ranjeet,ranjan,4
sp,finalise,seat,sharing,4
shri,narendra,damodar,das,4
govt,agustawestland,reality,upa,4
another,lie,exposed,lie,4
rs,crores,rs,crores,4
rahul,gandhi,prime,ministerial,4
leke,rahenge,azadi,jhoothi,4
challenge,aap,sanjay,singh,4
rahenge,azadi,jhoothi,aur,4
azadi,jhoothi,aur,nafrat,4
appointed,general,secretary,east,4
seven,seats,national,capital,4
win,seven,seats,national,4
target,win,seven,seats,4
says,target,win,seven,4
elections,says,target,win,4
lok,elections,says,target,4
crucial,lok,elections,says,4
ahead,crucial,lok,elections,4
president,ahead,crucial,lok,4
delhi,president,ahead,crucial,4
inducted,delhi,president,ahead,4
vote,one,reason,vote,4
jhoothi,aur,nafrat,failane,4
aur,nafrat,failane,walon,4
nafrat,failane,walon,se,4
failane,walon,se,vote,4
walon,se,vote,congress,4
se,vote,congress,another,4
vote,congress,another,independe…,4
gandhi,prime,ministerial,candidate,4
former,cm,meghalaya,chairman,4
congress’,aggressive,raga,corner,4
essential,commodities,kept,gst,4
condition,nda,raised,says,4
modernisation,take,place,rapid,4
seats,tamil,nadu,puducherry,4
sole,mantra,congress,last,4
mantra,congress,last,failed,4
congress,last,failed,understand,4
corruption,unemployment,country,growing,4
ruling,corruption,unemployment,country,4
congress,ruling,corruption,unemployment,4
chief,minister,watch,live,4
party,congress,ruling,corruption,4
sachin,pilot,ashok,gehlot,4
president,rahul,gandhi,addresses,4
rahul,gandhi,addresses,media,4
congress,always,delivered,promises,4
always,delivered,promises,made,4
delivered,promises,made,congress,4
promises,made,congress,deliver,4
congress,promises,make,education,4
promises,make,education,upto,4
make,education,upto,class,4
education,upto,class,xii,4
upto,class,xii,free,4
class,xii,free,compulsory,4
defence,modernisation,take,place,4
increasin,defence,modernisation,take,4
forces,increasin,defence,modernisation,4
srinivas,hv,yet,proved,4
election,year,congress,leave,4
year,congress,leave,opportunity,4
congress,leave,opportunity,peddle,4
leave,opportunity,peddle,lie,4
opportunity,peddle,lie,convert,4
peddle,lie,convert,full,4
lie,convert,full,fledged,4
convert,full,fledged,propaganda,4
farm,loans,farmers,make,4
loans,farmers,make,sure,4
farmers,make,sure,get,4
im,hoping,company,central,4
make,sure,get,right,4
sure,get,right,price,4
get,right,price,produce,4
right,price,produce,new,4
dependent,sole,mantra,congress,4
president,mr,macron,expresident,4
congress,empower,armed,forces,4
empower,armed,forces,increasin,4
armed,forces,increasin,defence,4
moment,congress,mps,threw,4
xii,free,compulsory,govt,4
free,compulsory,govt,schools,4
compulsory,govt,schools,education,4
dept,slaps,rs,crore,4
reservation,session,parliament,reservation,4
session,parliament,reservation,seats,4
parliament,reservation,seats,lok,4
ed,office,questioning,assuming,4
rahul,gandhi,sonia,gandhi,4
congress,process,shortlisting,candidates,4
triple,talaq,passed,lok,4
process,shortlisting,candidates,seats,4
shortlisting,candidates,seats,lok,4
slaps,rs,crore,tax,4
singh,lok,candidate,amritsar,4
pass,womens,reservation,session,4
candidates,seats,lok,election,4
last,failed,understand,today,4
pm,dr,manmohan,singh,4
appointed,aicc,gen,secy,4
former,pm,dr,manmohan,4
secrecy,pact,question,anil,4
field,former,pm,dr,4
keen,field,former,pm,4
manufactured,conversation,former,french,4
failed,understand,today,also,4
womens,reservation,session,parliament,4
congress,pass,womens,reservation,4
congress,make,gst,simple,4
provide,free,medical,facilities,4
make,gst,simple,tax,4
gst,simple,tax,one,4
simple,tax,one,rate,4
tax,one,rate,essential,4
one,rate,essential,commodities,4
