W1,F
retweet,13
congis,13
dare,13
dedicated,13
raises,13
required,13
went,13
fail,13
pride,13
currently,13
monday,13
duty,13
select,13
agent,13
remove,13
wink,13
didn’t,13
project,13
mission,13
ideas,13
restore,13
red,13
core,13
lack,13
threw,13
mistake,13
chairperson,13
forgot,13
aam,13
manmohan,13
final,13
gandhi’s,13
limits,13
saturday,13
wednesday,13
eye,13
teach,13
kumar,13
road,13
kid,13
addressing,13
account,13
assured,13
protect,13
ones,13
propoganda,13
desh,13
article,13
surprise,13
pledge,13
gandhinagar,13
crazy,13
outcome,13
shiri,13
claimed,12
agar,12
completely,12
jpc,12
mallikarjun,12
families,12
exclusive,12
wishes,12
worked,12
slap,12
afraid,12
mamta,12
population,12
aggressive,12
wasting,12
attention,12
insult,12
forever,12
third,12
legislation,12
pray,12
dreams,12
maximum,12
thugs,12
mistakes,12
defense,12
ally,12
mouth,12
turning,12
consider,12
lol,12
turns,12
french,12
correct,12
maam,12
hindi,12
hits,12
ridiculous,12
nations,12
odisha,12
foolish,12
holds,12
launched,12
discussed,12
standing,12
enjoy,12
formally,12
pick,12
co,12
damage,12
options,12
venugopal,12
piece,12
coalition,12
letter,12
comments,12
parivar,12
reject,12
increased,12
age,12
salary,12
polluted,12
smelling,12
arrogance,12
failure,12
seven,12
cry,12
wealth,12
gain,12
programme,12
reaction,12
communal,12
met,12
shutdown,12
wave,12
effect,12
everyday,12
typical,12
destroying,12
preparations,12
triumph,12
mrs,12
fresh,12
statements,12
solo,12
showed,12
add,12
ends,12
practice,12
uproar,12
earlier,12
treat,12
matters,12
aircraft,12
supremo,12
pakoda,12
later,12
meanwhile,12
empowerment,12
terrorism,12
govts,11
handle,11
growth,11
fraud,11
pocket,11
samajwadi,11
diamond,11
lotus,11
reminder,11
setting,11
attitude,11
declared,11
multiple,11
veteran,11
adjournment,11
dinner,11
comission,11
representation,11
slogans,11
ashamed,11
gains,11
corrupts,11
refuses,11
antony,11
rahulgandhi,11
realise,11
sell,11
happening,11
desperate,11
alternative,11
wife,11
season,11
supported,11
ncp,11
strike,11
chances,11
narrative,11
kcr,11
courtesy,11
cheers,11
pretty,11
foot,11
resolution,11
whip,11
upto,11
exits,11
wouldnt,11
delaying,11
exposing,11
ill,11
isn’t,11
changing,11
democrat,11
inflation,11
among,11
damn,11
cast,11
download,11
dynastic,11
shiv,11
names,11
kuch,11
service,11
unlikely,11
lal,11
safety,11
womens,11
hindustan,11
http…,11
telling,11
starting,11
alive.after,11
gold,11
progressive,11
conversation,11
task,11
institutions,11
sharad,11
hi,11
https:…,11
houses,11
weak,11
silence,11
chit,11
looters,11
replies,11
supposed,11
gdp,11
captain,11
remain,11
child,11
stinking,11
ghulam,11
orders,11
morons,11
energy,11
